,text,created_at,user,likes,retweets,links
246,Wanted: Suspect for Shooting Incident in the 12th District [VIDEO] https://t.co/n8DEz19XNQ https://t.co/yplrdLJsnA,2022-07-22 10:33:29+00:00,PhillyPolice,13,17,https://t.co/n8DEz19XNQhttps://t.co/yplrdLJsnA
247,RT @PPDInspThomas: Had a chance to hang out with a few of our community partners @ the @PPD25Dist District Front &amp; Somerset St block party.…,2022-07-21 21:49:27+00:00,PhillyPolice,0,1,
248,Wanted: Suspect for Arson in the 15th District [VIDEO] https://t.co/WB0MEVCSIm https://t.co/I5dqMgOee6,2022-07-21 11:02:54+00:00,PhillyPolice,12,13,https://t.co/WB0MEVCSImhttps://t.co/I5dqMgOee6
249,Wanted: Suspect for Shooting Incident in the 16th District [VIDEO] https://t.co/4dGV4bLMkh https://t.co/xJQJcbTh4F,2022-07-21 10:49:34+00:00,PhillyPolice,16,15,https://t.co/4dGV4bLMkhhttps://t.co/xJQJcbTh4F
250,"RT @PhillyFireDept: We know it's hot ... but please, don't open fire hydrants! Improper use can damage them, jeopardizing lives and propert…",2022-07-20 18:47:30+00:00,PhillyPolice,0,24,
251,"RT @PhiladelphiaGov: ☀️🤒Very hot weather can make people sick, even healthy adults. 

Here are a few things you can do to help everyone sta…",2022-07-20 14:40:43+00:00,PhillyPolice,0,8,
252,Wanted: Suspect for Hit and Run Leaving the Scene From the 16th District [VIDEO] https://t.co/Qd4dczPfvp https://t.co/Y0GTZBe69X,2022-07-20 02:17:36+00:00,PhillyPolice,6,11,https://t.co/Qd4dczPfvphttps://t.co/Y0GTZBe69X
253,Wanted: Suspect for Homicide in the 35th District [VIDEO] https://t.co/O8eaPNQ8GK https://t.co/93TaaihEHp,2022-07-19 17:13:27+00:00,PhillyPolice,3,10,https://t.co/O8eaPNQ8GKhttps://t.co/93TaaihEHp
254,Wanted: Suspect for Sexual Assault in the 3rd District https://t.co/nqHe7TWQsJ https://t.co/lc22A8D14b,2022-07-18 14:33:16+00:00,PhillyPolice,31,44,https://t.co/nqHe7TWQsJhttps://t.co/lc22A8D14b
255,Wanted: Suspect for Aggravated Assault in the 39th District [VIDEO] https://t.co/52WKPpunop https://t.co/yp5kEy6ARF,2022-07-18 10:51:10+00:00,PhillyPolice,17,23,https://t.co/52WKPpunophttps://t.co/yp5kEy6ARF
256,Wanted: Suspect for Homicide in the 39th District [VIDEO] https://t.co/uzz4yYB0iy https://t.co/0cdYawE8rZ,2022-07-15 17:50:24+00:00,PhillyPolice,14,21,https://t.co/uzz4yYB0iyhttps://t.co/0cdYawE8rZ
257,Wanted: Suspect for Shooting Incident in the 24th District [VIDEO] https://t.co/ORemprxgK7 https://t.co/Lp33R3uTDn,2022-07-14 10:48:31+00:00,PhillyPolice,16,26,https://t.co/ORemprxgK7https://t.co/Lp33R3uTDn
258,Wanted: Suspect for Homicide in the 1st District [VIDEO] https://t.co/JRjGkc3zZZ https://t.co/cDAyuM2MKy,2022-07-13 15:24:34+00:00,PhillyPolice,18,25,https://t.co/JRjGkc3zZZhttps://t.co/cDAyuM2MKy
259,Wanted: Suspects for Commercial Burglary in the 24th District [VIDEO] Wanted: Suspects for Commercial Burglary in the 24th District [VIDEO] https://t.co/Fq3QYusGQC https://t.co/r1grBSwfcO,2022-07-13 10:40:12+00:00,PhillyPolice,8,12,https://t.co/Fq3QYusGQChttps://t.co/r1grBSwfcO
260,Wanted: Suspect for a Fatal Hit and Run Auto vs Pedestrian in the 14th District [VIDEO] https://t.co/xL8fXFOYwM https://t.co/TMNKQYaX0l,2022-07-12 13:24:39+00:00,PhillyPolice,8,15,https://t.co/xL8fXFOYwMhttps://t.co/TMNKQYaX0l
261,Wanted: Suspects for Shooting Incident in the 15th District [VIDEO] https://t.co/MdlEtP0xR1 https://t.co/KB9sFR0uoM,2022-07-12 11:13:52+00:00,PhillyPolice,29,24,https://t.co/MdlEtP0xR1https://t.co/KB9sFR0uoM
262,Wanted: Suspect for Theft in the 17th District [VIDEO] https://t.co/mQQ2lLlhrP https://t.co/6S4gjKqrMn,2022-07-08 16:59:03+00:00,PhillyPolice,7,14,https://t.co/mQQ2lLlhrPhttps://t.co/6S4gjKqrMn
263,Wanted: Suspects for Robbery/Carjacking in the 35th District [VIDEO] https://t.co/yTTVCza51C https://t.co/vPtAhOsEu7,2022-07-08 11:41:27+00:00,PhillyPolice,11,23,https://t.co/yTTVCza51Chttps://t.co/vPtAhOsEu7
264,Wanted: Suspects for Theft in the 3rd District [VIDEO] https://t.co/gYaCnTKz3T https://t.co/Bp3mrlSRUa,2022-07-08 11:15:14+00:00,PhillyPolice,8,21,https://t.co/gYaCnTKz3Thttps://t.co/Bp3mrlSRUa
265,Wanted: Suspects for Homicide in the 22nd District [VIDEO] https://t.co/LLquaZyzYY https://t.co/yal4aPzFxW,2022-07-08 10:53:26+00:00,PhillyPolice,107,115,https://t.co/LLquaZyzYYhttps://t.co/yal4aPzFxW
266,Wanted: Suspects for Homicide in the 15th District [VIDEO] https://t.co/Uzly21lKdQ https://t.co/yOc8SiFdqj,2022-07-08 10:37:19+00:00,PhillyPolice,16,28,https://t.co/Uzly21lKdQhttps://t.co/yOc8SiFdqj
